pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
FF,2018-09-28,95.3,-3.3658,5.5104,Jose Berrios,570560,621244,,foul,,,,,2.0,,R,L,R,MIN,CWS,S,,,0,2,2018,-0.9539,1.1524,-0.1688,3.1335,,,,1,5,Top,,,,,553902.0,,180928_193624,10.5741,-138.4105,-3.2147,-14.6221,29.5644,-16.7485,3.5142,1.8493,158.0,75.1,20.2,95.66,2246.0,6.506,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,53.9936,,,,,,,,36,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
FF,2018-09-28,94.5,-3.4573,5.4554,Jose Berrios,570560,621244,,swinging_strike,,,,,1.0,,R,L,R,MIN,CWS,S,,,0,1,2018,-0.9916,1.1925,-0.5204,3.2963,,,,1,5,Top,,,,,553902.0,,180928_193603,9.7661,-137.3135,-2.5509,-14.5157,29.2341,-16.8985,3.4151,1.725,,,,94.061,2290.0,6.025,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.4741,,,,,,,,36,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
CU,2018-09-28,83.3,-3.4398,5.2798,Jose Berrios,570560,621244,,foul,,,,,14.0,,R,L,R,MIN,CWS,S,,,0,0,2018,1.4391,0.0841,1.2265,1.8372,,,,1,5,Top,,,,,553902.0,,180928_193548,7.8667,-121.0841,-1.5815,12.3133,24.0988,-31.294,3.4151,1.725,,,,82.453,2385.0,5.826,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.6738,,,,,,,,36,1,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
CU,2018-09-28,84.1,-3.5189,5.2025,Jose Berrios,641553,621244,strikeout,swinging_strike_blocked,,,,,14.0,"Adam Engel strikes out swinging, catcher Willians Astudillo to first baseman Tyler Austin.  ",R,R,R,MIN,CWS,S,2.0,,0,2,2018,1.148,0.2156,1.2255,0.9,,,,0,5,Top,,,,,553902.0,,180928_193509,8.6673,-122.0966,-3.9327,9.5449,24.0416,-29.531,3.6627,1.6504,,,,83.124,2402.0,5.77,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.7297,,,0.0,1.0,0.0,0.0,,35,3,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
FT,2018-09-28,91.6,-3.4626,5.2622,Jose Berrios,641553,621244,,foul,,,,,8.0,,R,R,R,MIN,CWS,S,,,0,1,2018,-1.5069,0.5565,-0.1683,2.2411,,,,0,5,Top,,,,,553902.0,,180928_193449,11.6137,-132.9311,-2.9712,-20.4127,27.1067,-25.0992,3.7122,1.7747,189.0,68.3,43.6,91.949,2141.0,6.539,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,53.9609,,,,,,,,35,2,2-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
FF,2018-09-28,94.0,-3.5348,5.3443,Jose Berrios,641553,621244,,foul,,,,,6.0,,R,R,R,MIN,CWS,S,,,0,0,2018,-0.9546,1.5151,0.4862,2.4844,,,,0,5,Top,,,,,553902.0,,180928_193423,12.4169,-136.2258,-4.9092,-14.5991,31.4291,-12.6573,3.7122,1.7995,191.0,76.0,24.7,93.098,2317.0,6.096,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.4036,,,,,,,,35,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
CU,2018-09-28,83.7,-3.5094,5.2574,Jose Berrios,641313,621244,field_out,hit_into_play,,,,,14.0,Tim Anderson lines out to pitcher Jose Berrios.  ,R,R,R,MIN,CWS,X,1.0,line_drive,1,2,2018,1.4028,0.0952,0.6358,1.4023,,594953.0,553882.0,2,4,Top,128.07,181.23,,,553902.0,,180928_191646,6.7891,-121.7274,-2.6154,12.3226,24.772,-30.9566,3.4398,1.5508,79.0,61.5,7.5,82.99,2434.0,5.931,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.5683,0.166,0.154,0.0,1.0,0.0,0.0,2.0,29,4,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
CU,2018-09-28,83.8,-3.5802,5.3163,Jose Berrios,641313,621244,,ball,,,,,14.0,,R,R,R,MIN,CWS,B,,,0,2,2018,1.3164,0.1573,0.6431,1.1754,,594953.0,553882.0,2,4,Top,,,,,553902.0,,180928_191613,7.1318,-121.8286,-3.4107,11.4035,23.8664,-30.2256,3.514,1.6254,,,,82.792,2419.0,5.662,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.8375,,,,,,,,29,3,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
FF,2018-09-28,95.2,-3.4775,5.4095,Jose Berrios,641313,621244,,foul,,,,,4.0,,R,R,R,MIN,CWS,S,,,0,1,2018,-0.8219,1.1745,-0.4939,2.6725,,594953.0,553882.0,2,4,Top,,,,,553902.0,,180928_191543,9.6382,-138.2858,-4.1766,-12.535,28.1478,-16.4153,3.4893,1.6503,193.0,70.5,27.3,95.297,2272.0,6.248,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.2514,,,,,,,,29,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
FF,2018-09-28,94.9,-3.5112,5.3654,Jose Berrios,641313,621244,,called_strike,,,,,14.0,,R,R,R,MIN,CWS,S,,,0,0,2018,-0.925,1.305,0.9388,1.8082,,594953.0,553882.0,2,4,Top,,,,,553902.0,,180928_191523,13.6532,-137.5437,-6.527,-14.5842,28.1696,-14.4061,3.564,1.6017,,,,94.852,2314.0,6.31,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.1893,,,,,,,,29,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
